Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossDist	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.25385663	-0.5620961	0.161877	-0.13395646	-1.1494644	24.868296	0.18525687	0.05837268	0.40346706	0.052809734	32000	-1.1026859e-06	0.18001561	0.02858393	-0.02254609	-0.1672279	2.8220105	0.015000176	0.2495	19.0	15.590784549713135
1	0.0	0.35486263	-0.38731772	0.1523434	0.03637911	-0.9371707	22.828756	-0.20393723	0.07642128	0.17359005	-0.36810863	64000	-6.7218207e-06	0.01286908	0.028144594	-0.026844934	-0.003924179	2.8119543	0.0151953325	0.28621876	17.0	30.692636013031006
2	0.0	0.33716625	-0.2077184	0.13085216	0.11970681	-0.6344958	21.804016	-0.1371518	0.076315574	0.10288432	-0.2995745	96000	3.7674326e-06	0.013376029	0.027788155	-0.028070524	-0.0061279335	2.7770894	0.017010804	0.41290623	11.0	44.60295581817627
3	0.039278932	0.4970288	-0.069090456	0.30166525	1.3307954	-0.6356324	19.480247	-0.06484904	0.04831916	0.08674734	-0.18963122	128000	2.7753413e-07	0.04435971	0.027149344	-0.012062857	-0.00628785	2.7131183	0.016282722	0.371875	12.0	58.723275899887085
4	0.08095013	0.6033276	-0.012122098	0.40610954	1.3941447	-0.36836144	16.042929	-0.012089751	0.060242172	0.32639933	-0.2011928	160000	1.2088567e-06	0.09355298	0.026214477	-0.0059388787	-0.009867673	2.6199565	0.0150632365	0.24049999	17.0	73.9132468700409
5	0.11128005	0.64093673	0.00985078	0.4811353	1.4268723	-0.5508316	13.967257	-0.020104973	0.108329624	0.32967734	-0.5248324	192000	7.4207783e-06	0.15303263	0.025187824	-0.0055456124	-0.023914466	2.5176444	0.0069969855	0.049781248	79.0	102.98210859298706
6	0.09897387	0.6659621	0.012223577	0.45214978	1.448845	-0.44741905	13.70718	-0.0078099994	0.13561669	0.42419484	-0.41726682	224000	6.5900385e-06	0.1376232	0.025253713	-0.005914719	-0.026556833	2.5242424	0.010187682	0.07396875	79.0	132.0723488330841
7	0.131448	0.69216764	0.041118298	0.5133623	1.4618967	-0.6043295	12.015909	0.009429283	0.14573582	0.6610096	-0.5511675	256000	-1.5866011e-05	0.19868734	0.024795925	-0.005851444	-0.044745266	2.4783201	0.007182585	0.0546875	79.0	161.1758313179016
8	0.11999221	0.6714504	0.0278335	0.49209464	1.4586856	-0.48639268	12.911789	0.054385565	0.17289597	0.7478666	-0.47113788	288000	9.294599e-06	0.17637935	0.024869092	-0.005704075	-0.036735542	2.4855964	0.008227202	0.03859375	79.0	190.20182609558105
9	0.0643424	0.7879054	-0.054874327	0.37170392	1.4810377	-0.49506888	9.986726	-0.010833612	0.12606114	0.52281266	-0.42168224	320000	7.3299743e-06	0.12188363	0.024565566	-0.0072252294	-0.01837453	2.4552093	0.009599438	0.059312496	79.0	219.30226850509644
