Iteration	AverageLoss	StdLoss	MaxLoss	MinLoss	RewardLoss	StateLoss	Reward	EnvInteractions	Time
0.0	7.3930826	0.0	7.3930826	7.3930826	0.07022499	7.38606	0.015	4	0.0637972354888916
13.0	3.8394709	1.6118037	6.9450316	1.6998008	0.86994576	3.7524765	-0.0010494074	104	0.16984105110168457
38.0	3.106112	1.1557198	5.9504533	1.7536045	0.95808244	3.010304	0.031048194	204	0.25405287742614746
63.0	3.7168374	0.9532146	5.3503165	2.1942344	1.3235189	3.5844858	0.019451803	304	0.33950161933898926
88.0	3.0958645	0.8665035	4.785119	2.1576428	0.91754305	3.0041094	0.029179111	404	0.4259796142578125
113.0	2.8062751	0.8334546	4.2217836	1.5523795	0.14181504	2.7920935	0.016312499	504	0.5116136074066162
138.0	2.2842245	0.5346094	3.219138	1.736516	0.064909406	2.2777336	0.027364941	604	0.5968344211578369
163.0	2.3426695	0.2676674	2.8597906	2.0472775	0.07548526	2.3351207	0.01144686	704	0.6827526092529297
188.0	1.6143304	0.37696964	2.576931	1.246744	0.05418304	1.608912	0.018106634	804	0.768625020980835
213.0	1.7184324	0.4596714	2.662454	1.1641437	0.06718611	1.711714	0.045356568	904	0.8542718887329102
238.0	1.1485157	0.14887126	1.6523116	0.9334221	0.024168745	1.1460986	0.01249807	1004	0.9380106925964355
263.0	1.5245906	0.30805013	2.6216846	1.1389645	0.05488546	1.519102	0.026461087	1104	1.0216801166534424
288.0	1.5385334	0.32481596	2.4845297	1.1800557	0.110597804	1.5274738	0.015028522	1204	1.105642557144165
313.0	2.9668128	0.34598145	4.0904884	2.3184524	0.3700853	2.9298043	0.03338367	1304	1.1928305625915527
338.0	2.290139	0.3691618	3.086386	1.7642435	0.3854097	2.251598	-0.0058628465	1404	1.2784056663513184
363.0	1.6547629	0.66056836	2.9938228	0.6886332	0.17254482	1.6375087	0.0034145014	1504	1.3654975891113281
388.0	1.575486	0.5022568	2.6172802	0.6712293	0.059826408	1.5695032	0.014964212	1604	1.4526262283325195
413.0	1.4920408	0.6692671	2.9789226	0.80330235	0.10088608	1.481952	0.018444998	1704	1.539231538772583
438.0	1.7971038	0.6477193	3.0726857	0.8546488	0.09247056	1.7878565	0.024726873	1804	1.6246213912963867
463.0	0.9401419	0.46243322	2.1699107	0.4936764	0.058815937	0.9342603	0.006008161	1904	1.7104482650756836
488.0	1.9458698	0.29583788	2.720691	1.5315797	0.10570066	1.9352995	0.025980322	2004	1.7935492992401123
513.0	1.3129027	0.3759274	2.1394134	0.8689583	0.06308042	1.3065945	0.026281834	2104	1.8782517910003662
538.0	1.6635667	0.3041986	2.448117	1.3852932	0.09271707	1.6542952	0.03573504	2204	1.9774763584136963
563.0	1.4329269	0.22281288	1.9313681	1.1759453	0.07844016	1.4250828	0.013174371	2304	2.0648350715637207
588.0	1.6846893	0.32410386	2.3636625	1.2700028	0.09090873	1.6755983	0.02680055	2404	2.1513381004333496
613.0	1.2293409	0.35060754	2.5071535	0.9329138	0.08117845	1.2212231	0.02852036	2504	2.240196466445923
638.0	1.479322	0.38894013	2.6310241	1.1165707	0.07752607	1.4715692	0.0326098	2604	2.325497627258301
663.0	1.2350879	0.33476546	2.0800934	0.9254559	0.08133166	1.2269547	0.013836546	2704	2.40975284576416
688.0	1.7537308	0.21170735	2.303312	1.5050982	0.09299378	1.7444313	0.027322583	2804	2.539902448654175
713.0	1.0850357	0.2745168	1.9727496	0.9156571	0.04967226	1.0800685	0.029584661	2904	2.6248464584350586
738.0	1.2787453	0.3802238	2.4890127	0.7702857	0.065716535	1.2721736	0.031925946	3004	2.7109313011169434
763.0	1.0968795	0.39025977	2.023871	0.7179012	0.123591356	1.0845202	0.010197743	3104	2.8000128269195557
788.0	1.4006289	0.49649814	2.3825927	0.80119765	0.108422816	1.3897865	0.02166297	3204	2.8942244052886963
813.0	1.2086622	0.7803964	4.5659714	0.80450445	0.07180523	1.2014816	0.031010954	3304	2.989083766937256
838.0	1.3505329	0.5529305	2.9470565	0.66766304	0.11062125	1.3394709	0.02228338	3404	3.0761160850524902
863.0	1.3436085	0.6877586	3.934714	0.6285716	0.10290675	1.3333178	0.02259547	3504	3.1627871990203857
888.0	1.0235406	0.3364669	2.373761	0.729045	0.1166582	1.0118748	0.011446438	3604	3.252101182937622
913.0	2.051411	0.9918926	5.0343437	0.89388233	0.092366904	2.0421743	0.033177305	3704	3.340693712234497
938.0	0.9921542	0.3379462	1.8922738	0.6728637	0.08566577	0.98358756	0.0051297233	3804	3.426386833190918
963.0	2.17221	0.52711105	3.1241024	1.2056029	0.11389408	2.1608207	0.03668627	3904	3.5133025646209717
988.0	0.6486601	0.2128669	1.4923025	0.5062615	0.037135143	0.6449466	0.015731473	4004	3.602534055709839
1013.0	2.0531385	0.6572405	3.694628	1.0665472	0.20927313	2.032211	0.031142658	4104	3.6890130043029785
1038.0	0.98019564	0.6791555	2.9269178	0.38066226	0.1384849	0.9663472	0.007349609	4204	3.7767248153686523
1063.0	1.707294	0.91507107	3.0721383	0.4769146	0.17432499	1.6898614	0.030165544	4304	3.975552558898926
1088.0	0.79117805	0.5986713	2.2773685	0.3589291	0.051046096	0.7860733	0.02342436	4404	4.074751615524292
1113.0	1.3237228	0.61824435	3.0247717	0.5494504	0.051770944	1.3185457	0.040431704	4504	4.17336893081665
1138.0	0.66998065	0.3592651	2.1725903	0.42262006	0.07830174	0.6621505	0.009414349	4604	4.261007308959961
1163.0	1.306216	0.4913376	2.2851572	0.53653014	0.08949277	1.2972667	0.039896972	4704	4.349012851715088
1188.0	0.6495947	0.32182172	1.4743965	0.39031813	0.04028365	0.64556634	0.017218461	4804	4.435839653015137
1213.0	1.1640713	0.46721515	2.376022	0.7110466	0.07399994	1.1566713	0.04634197	4904	4.523550987243652
1238.0	0.8224021	0.37334314	2.0036316	0.4887476	0.062636524	0.81613845	-0.01051132	5004	4.611811637878418
1263.0	1.2780676	0.70056355	2.6730597	0.4777564	0.059753798	1.2720923	0.028888617	5104	4.69916844367981
1288.0	1.5727733	0.6894787	2.632359	0.628154	0.07460093	1.5653131	0.02223175	5204	4.786362409591675
1313.0	0.9551727	0.3865158	2.2901273	0.5987637	0.082696505	0.94690305	0.02812028	5304	4.873879432678223
1338.0	0.9132756	0.4462993	1.8793322	0.3787128	0.05498834	0.9077767	0.017228583	5404	4.962023973464966
1363.0	1.0895504	0.30907503	1.8066684	0.42402506	0.08164844	1.0813854	-0.010251087	5504	5.049994945526123
1388.0	1.6175991	0.4422617	2.7138262	1.1746265	0.1332632	1.6042731	-0.00012615598	5604	5.209524393081665
1413.0	0.8943639	0.19015378	1.3830578	0.70759827	0.08800126	0.8855638	0.0020007072	5704	5.296139717102051
1438.0	2.0419624	0.54422057	3.6074126	0.83696854	0.0983147	2.032131	0.048357263	5804	5.386327505111694
1463.0	0.78463674	0.28033006	1.4359087	0.422587	0.08994623	0.77564216	0.00011096947	5904	5.474078416824341
1488.0	1.7768501	0.80486697	4.9497957	1.1305951	0.25548613	1.7513015	0.029830718	6004	5.564466953277588
1513.0	0.6654278	0.2510523	1.2711152	0.42208624	0.07739758	0.65768796	-0.0049893893	6104	5.652880907058716
1538.0	1.1176337	0.4839443	2.2570314	0.51506084	0.13487722	1.104146	0.028885067	6204	5.736723184585571
1563.0	0.6716415	0.30223748	1.7323718	0.48539805	0.0397791	0.66766363	0.024728019	6304	5.821460723876953
1588.0	1.2062207	0.42137778	2.677315	0.5922959	0.068377964	1.1993829	0.025021333	6404	5.908458471298218
1613.0	0.7307767	0.39100978	1.803527	0.40171194	0.05616356	0.72516036	0.021915238	6504	5.997024059295654
1638.0	1.4616609	0.50106406	2.639893	0.6657018	0.14036657	1.4476243	0.05060295	6604	6.085248708724976
1663.0	0.4739945	0.1370204	0.8443814	0.32839748	0.03794799	0.47019967	0.0031864983	6704	6.174600839614868
1688.0	1.3629701	0.4447152	2.3735154	0.57568085	0.10799252	1.3521711	0.049331516	6804	6.2624595165252686
1713.0	0.5245136	0.20808513	1.0484278	0.3338043	0.047416992	0.5197719	0.0043467237	6904	6.3503923416137695
1738.0	1.52957	0.49800503	2.823406	0.6420057	0.112242706	1.5183458	0.04448383	7004	6.441348552703857
