Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.12222222	-0.69758064	0.19360961	-0.24745207	-1.0719018	26.739286	-0.049188823	0.13180804	0.34961206	-0.35474682	8000	-2.7939677e-08	0.080722466	-0.027861636	-0.06706852	2.797196	0.013569383	0.2815	79.0	1.276242733001709
1	0.0	0.23535353	-0.4715432	0.17148672	-0.1266514	-0.95372933	24.301283	-0.27710584	0.10375904	-0.055967882	-0.5939275	16000	1.1175871e-08	0.031373084	-0.02854829	-0.022308804	2.7965086	0.014497009	0.256625	79.0	2.4475409984588623
2	0.0	0.32246503	-0.28334367	0.14747617	0.0084436	-0.80983424	22.620588	-0.20693947	0.11474775	0.086067125	-0.53982705	24000	9.313226e-10	0.028015126	-0.019320378	-0.02063145	2.7717056	0.015650032	0.46537498	13.0	3.3439459800720215
3	0.029220778	0.45078462	-0.0814647	0.26332542	1.2325298	-0.4104641	19.734375	-0.1333426	0.08090119	0.14294378	-0.3280987	32000	-1.7695129e-08	0.043445013	-0.016130446	-0.024588851	2.706355	0.016744453	0.410875	12.0	4.26848578453064
4	0.038753137	0.61133873	-0.06324176	0.29959667	1.3356025	-0.34024236	16.07773	-0.074141905	0.12588252	0.2709059	-0.47563094	40000	7.450581e-09	0.05117064	-0.012220142	-0.02388388	2.6488805	0.016724149	0.31362498	10.0	5.149766445159912
5	0.09349111	0.6656677	0.006438717	0.40345284	1.3678968	-0.2739443	13.464539	0.0074160732	0.14695354	0.5266901	-0.38885885	48000	0.0	0.112679824	-0.019490896	-0.0611041	2.5557842	0.008059353	0.11812501	79.0	6.327289819717407
6	0.13525	0.7061783	0.060162343	0.4877402	1.3664603	-0.32002053	12.296357	0.042238027	0.2646953	1.0556198	-0.77475464	56000	0.0	0.19205879	-0.021869104	-0.1269502	2.5130813	0.010938266	0.11925	79.0	7.451139450073242
7	0.15652958	0.6255321	0.098919176	0.52428293	1.4095285	-0.31316087	14.051785	0.2175025	0.2866499	1.1336706	-0.38226557	64000	-1.8626451e-08	0.21684271	-0.02474102	-0.12673667	2.507289	0.01156919	0.14575	79.0	8.622443914413452
8	0.10915965	0.7195833	0.026782298	0.4545613	1.4158894	-0.39111653	11.722727	0.14169608	0.2612134	1.0198138	-0.6398315	72000	5.5879354e-09	0.194697	-0.026142105	-0.12925813	2.4985552	0.013854907	0.16062501	79.0	9.754536628723145
9	0.15152472	0.68034244	0.081506655	0.5298234	1.401481	-0.30652398	12.367647	0.11993093	0.31594735	1.2702304	-0.8088448	80000	1.4901161e-08	0.25030094	-0.028674848	-0.16162658	2.4799824	0.015015006	0.1415	75.0	10.97195291519165
10	0.24492994	0.56694007	0.27303806	0.62641567	1.4492525	-0.2869752	15.139764	0.0375351	0.360199	1.098268	-1.1222976	88000	4.656613e-09	0.3360237	-0.018532615	-0.21568047	2.467402	0.015063519	0.16675001	33.0	12.037784099578857
11	0.1630428	0.68624127	0.11462853	0.540592	1.430218	-0.2874023	11.283626	0.15352942	0.26079696	1.074219	-0.46756023	96000	-5.5879354e-09	0.22024374	-0.028070375	-0.14272039	2.4372597	0.01223318	0.16575	79.0	13.217919111251831
12	0.15707767	0.7061291	0.10315002	0.538364	1.473669	-0.29976395	10.831461	0.10082286	0.2796502	1.0323637	-0.6055553	104000	1.1175871e-08	0.21138334	-0.029396337	-0.12443154	2.421725	0.014695517	0.17012501	79.0	14.454769134521484
13	0.10641797	0.75104374	0.036332987	0.47234625	1.4253503	-0.36699167	10.966292	0.09594438	0.2736384	1.0318905	-0.7959955	112000	7.450581e-09	0.1828227	-0.026772706	-0.091616355	2.4054027	0.008804119	0.15125	79.0	15.606943845748901
14	0.16420144	0.7546673	0.12085578	0.55291766	1.4798594	-0.3011634	9.330144	0.16331229	0.3509206	1.3471802	-0.9183932	120000	3.7252903e-09	0.24606836	-0.02953656	-0.17187852	2.3337831	0.015034286	0.157625	78.0	16.82918906211853
15	0.23070738	0.63901293	0.20293215	0.625149	1.5206763	-0.3823715	11.502958	0.21704803	0.37159616	1.2033625	-0.5693	128000	-1.5832484e-08	0.27964675	-0.032629184	-0.18047552	2.3453012	0.012214538	0.17612499	79.0	17.96418857574463
16	0.2301011	0.59613895	0.20656197	0.60555613	1.457496	-0.26857167	11.8885355	0.24298029	0.3837641	1.1829871	-0.615969	136000	-1.46683306e-08	0.23800075	-0.032618683	-0.13362408	2.3377972	0.01167095	0.1795	79.0	19.189388036727905
17	0.22119534	0.6460591	0.20684655	0.61732984	1.4715706	-0.32033575	11.654908	0.1465705	0.33149126	1.2052051	-0.67299783	144000	-9.313226e-09	0.24693549	-0.026328422	-0.14238289	2.3400187	0.015140092	0.16262501	45.0	20.19399857521057
18	0.37304676	0.5000844	0.4286968	0.7051807	1.4734899	-0.2771974	14.385036	0.26797017	0.30396128	1.1874367	-0.639083	152000	-3.7252903e-09	0.25205687	-0.03298869	-0.1373548	2.3639507	0.011152104	0.193375	79.0	21.368375301361084
19	0.30847198	0.59329987	0.3334877	0.6843723	1.4928842	-0.2737386	12.490322	0.34702563	0.33080235	1.4275184	-0.5143143	160000	3.7252903e-09	0.26962247	-0.03560797	-0.16989401	2.3424535	0.014864167	0.18437499	79.0	22.4983811378479
20	0.40148568	0.42946428	0.47635588	0.72345585	1.4728574	-0.29921433	14.583969	0.43456122	0.35055265	1.4113088	-0.6027453	168000	3.7252903e-09	0.24620628	-0.034988023	-0.12516809	2.335977	0.011518026	0.20212501	79.0	23.670793056488037
21	0.40940297	0.4864422	0.46734223	0.74795395	1.483534	-0.30733147	13.208333	0.42683387	0.31770474	1.2554551	-0.4016693	176000	-1.8626451e-09	0.23160174	-0.028585557	-0.13768938	2.310742	0.015007637	0.1875	45.0	24.681360483169556
22	0.41125265	0.45567518	0.48590726	0.76102966	1.4969957	-0.3970832	13.693262	0.5100667	0.3177725	1.2429795	-0.4802384	184000	-7.450581e-09	0.29182678	-0.021840686	-0.17041725	2.2991176	0.015010081	0.15062499	26.0	25.665881872177124
23	0.45405543	0.42569774	0.539237	0.7668881	1.4969618	-0.33631876	14.519231	0.41578278	0.36005625	1.1627903	-0.7492272	192000	1.1175871e-08	0.21713632	-0.032218367	-0.118709594	2.3219388	0.015041885	0.20075	78.0	26.803627014160156
24	0.4943394	0.37581432	0.6122014	0.74066377	1.483658	-0.305589	16.047916	0.498804	0.36576602	1.5215849	-0.5688515	200000	0.0	0.23157224	-0.030230593	-0.15003148	2.3023953	0.015010265	0.17175	54.0	27.9235200881958
25	0.5802484	0.3238439	0.7328658	0.742299	1.469073	-0.36502776	16.685345	0.55721915	0.34338167	1.4768133	-0.5872538	208000	-7.450581e-09	0.19208819	-0.033027742	-0.12190539	2.2683167	0.015071357	0.19025001	67.0	29.010380744934082
26	0.47113004	0.40635663	0.5657121	0.7620264	1.4898497	-0.46588036	15.091085	0.5526221	0.35266995	1.434707	-0.6461423	216000	-1.4901161e-08	0.23868366	-0.03541507	-0.13961577	2.2539809	0.015026053	0.18875	71.0	30.146076440811157
27	0.53870803	0.4251809	0.6525714	0.77794814	1.5010245	-0.3863647	13.487847	0.520005	0.35579583	1.4169377	-0.6276003	224000	1.8626451e-09	0.21011582	-0.02713706	-0.14478889	2.18919	0.015074193	0.173875	42.0	31.147268056869507
28	0.4831052	0.46951497	0.5728221	0.79524136	1.5123631	-0.38107753	12.626645	0.6512266	0.39500144	1.5519123	-0.52845716	232000	1.8626451e-08	0.26582226	-0.036967676	-0.16608408	2.1886861	0.01337625	0.20012501	79.0	32.36158776283264
29	0.5487683	0.355227	0.68902785	0.7642826	1.4931651	-0.37027493	15.404762	0.58805054	0.35933915	1.4059415	-0.63887143	240000	1.4901161e-08	0.2535255	-0.034700003	-0.1473623	2.1894813	0.01209129	0.196125	79.0	33.524585485458374
30	0.48748067	0.42842007	0.5858959	0.7917775	1.5032629	-0.39329204	14.166059	0.45222083	0.39128628	1.5117273	-0.5632737	248000	0.0	0.26596403	-0.03717449	-0.16178745	2.1709557	0.014181618	0.244875	79.0	34.69724416732788
31	0.49519724	0.43663788	0.5987833	0.79029864	1.4856763	-0.43425402	13.780357	0.5327823	0.36270994	1.2679151	-0.6048262	256000	8.381903e-09	0.23922607	-0.033275694	-0.1408265	2.1394231	0.015004627	0.19575	58.0	35.80633997917175
32	0.50345504	0.4221049	0.62470776	0.7810372	1.512902	-0.35132813	13.263986	0.5657689	0.37496394	1.5826396	-0.54214674	264000	1.0244548e-08	0.22172424	-0.037461046	-0.120104894	2.1074963	0.014672452	0.2035	79.0	36.98115253448486
33	0.5647993	0.3764589	0.7024079	0.7823587	1.528401	-0.40404043	13.9375	0.5631114	0.39408928	1.7250497	-0.7105697	272000	-1.3038516e-08	0.21089813	-0.033064507	-0.12510218	2.100524	0.015100868	0.19312501	54.0	38.14103102684021
34	0.40526396	0.55989325	0.40598214	0.795632	1.5182855	-0.47018185	11.191521	0.6152662	0.3423841	1.4219353	-0.7104037	280000	-7.450581e-09	0.22316062	-0.035337776	-0.123190194	2.130816	0.013512272	0.191	79.0	39.300782203674316
35	0.6106667	0.33497182	0.7299121	0.7995263	1.505643	-0.49998876	14.194445	0.65538687	0.36890304	1.4085419	-0.5587642	288000	-6.519258e-09	0.177609	-0.030161923	-0.10930264	2.0647793	0.015044406	0.183625	52.0	40.42702770233154
36	0.71937007	0.22103176	0.94793886	0.7299068	1.5367256	-0.42272818	15.54878	0.70671034	0.34156346	1.3351811	-0.5015988	296000	7.450581e-09	0.16828308	-0.035264485	-0.08383726	1.9852607	0.015019635	0.207625	77.0	41.55421543121338
37	0.57318544	0.35481703	0.7059425	0.8089629	1.5227295	-0.41586226	13.960821	0.7390216	0.2903908	1.4633863	-0.24274568	304000	1.6763806e-08	0.23196888	-0.032857284	-0.13459046	2.0304759	0.015057972	0.206	67.0	42.68485140800476
38	0.6935224	0.2911998	0.8777786	0.74392045	1.5327138	-0.4250462	14.535448	0.62387806	0.35627505	1.4186704	-0.5131883	312000	1.8859282e-08	0.22125076	-0.03337116	-0.1509468	2.0042238	0.01509076	0.19975	62.0	43.761895418167114
39	0.5042268	0.44966385	0.6113433	0.81455415	1.5393428	-0.38738826	11.813637	0.7424017	0.32446992	1.4170364	-0.31661218	320000	9.313226e-09	0.26902846	-0.023668977	-0.13857335	1.956351	0.0153185995	0.163625	24.0	44.79319906234741
40	0.5328624	0.43798918	0.6603029	0.8113124	1.5242721	-0.45621273	12.519231	0.59633446	0.35848638	1.2494776	-0.565153	328000	-1.4901161e-08	0.2019591	-0.03688184	-0.09399949	1.9330604	0.013166975	0.1965	79.0	46.217246294021606
41	0.6105997	0.3506748	0.7844855	0.77666193	1.525008	-0.3252585	13.561189	0.66895765	0.3740661	1.385679	-0.6731695	336000	0.0	0.19304624	-0.036750484	-0.09544189	1.9651464	0.014905927	0.19062501	79.0	47.411381006240845
42	0.6349398	0.3255093	0.80495274	0.7688943	1.5319619	-0.40048033	14.1029415	0.72876596	0.2910379	1.357907	-0.38570756	344000	-1.8626451e-09	0.18945372	-0.032722447	-0.09741764	1.9737524	0.015030778	0.176875	47.0	48.4377326965332
43	0.6897978	0.2862439	0.8885628	0.754446	1.535008	-0.55197674	15.128906	0.64094436	0.35974315	1.3103969	-0.6358386	352000	-1.1175871e-08	0.17261755	-0.022580633	-0.09505412	1.9868864	0.015025864	0.15287499	22.0	49.41215372085571
44	0.68762255	0.26393998	0.9053124	0.7398263	1.5128999	-0.4230937	14.9765625	0.7427757	0.31401554	1.3941053	-0.4137654	360000	7.450581e-09	0.14419521	-0.035923548	-0.0783291	1.9295077	0.013647216	0.201625	79.0	50.55718660354614
