Iteration	AverageLoss	StdLoss	MaxLoss	MinLoss	RewardLoss	StateLoss	Reward	EnvInteractions	Time
0.0	7.214241	0.0	7.214241	7.214241	0.00020183742	7.214221	0.015	4	0.036664485931396484
13.0	3.7629614	1.7062556	6.9877467	1.4927973	0.00036187048	3.7629251	-0.0010375864	104	0.12652349472045898
38.0	3.4906843	1.7490697	7.167293	1.4477069	0.030437289	3.4876404	0.031323686	204	0.20509624481201172
63.0	2.5188446	1.723565	6.3276973	1.030803	0.020122612	2.5168324	0.021714192	304	0.27982282638549805
88.0	4.451351	1.5272999	6.869713	1.6678493	0.037948273	4.447556	0.03980312	404	0.35546445846557617
113.0	1.6654805	1.19712	4.4337673	0.7745388	0.0102025485	1.66446	0.0050925394	504	0.4304513931274414
138.0	2.5843692	0.9695136	4.2582097	1.0807784	0.020198822	2.5823493	0.033231787	604	0.5045146942138672
163.0	1.8181965	1.0313063	3.7384002	0.7572898	0.020132856	1.8161833	0.016641637	704	0.5785162448883057
188.0	1.6965957	0.7738448	3.122602	0.7228687	0.00019466765	1.6965762	0.011151015	804	0.652836799621582
213.0	1.4462961	0.9708761	3.8890984	0.429394	0.040169254	1.4422793	0.04250102	904	0.7289812564849854
238.0	1.367944	0.5952768	2.4335659	0.49639696	0.020217901	1.3659221	0.030565975	1004	0.805173397064209
263.0	1.0296175	0.5209409	2.0428958	0.52328223	0.02016843	1.0276006	0.021152409	1104	0.8796148300170898
288.0	1.9430372	0.8365942	3.6721888	0.66454935	0.020234574	1.9410135	0.03059186	1204	0.9559125900268555
313.0	1.2833252	0.70419556	3.869454	0.5816693	0.020219758	1.2813033	0.02423984	1304	1.0319440364837646
338.0	3.1514077	0.66644824	4.565216	1.9742936	0.040189978	3.147389	0.045984454	1404	1.1066362857818604
363.0	1.2506198	0.45177433	2.1807392	0.6817269	0.002080082	1.2504117	-0.011084936	1504	1.1825251579284668
388.0	0.9336033	0.41305357	2.021554	0.5584487	0.00073113537	0.9335301	-0.0020885847	1604	1.2726166248321533
413.0	1.7928815	0.53476286	2.8534822	0.8453053	0.03078085	1.7898035	0.03387226	1704	1.3508760929107666
438.0	1.1233449	0.59928316	2.7741985	0.6290144	0.00085336325	1.1232595	0.0039338297	1804	1.4275803565979004
463.0	1.5336124	0.49923047	2.6435685	0.84513324	0.030187778	1.5305938	0.032907985	1904	1.5051202774047852
488.0	1.3111854	0.33702856	2.3771656	0.8690881	0.011465085	1.3100388	0.0052470197	2004	1.5804345607757568
513.0	1.2864968	0.25054565	2.1492276	1.0072383	0.020221261	1.2844746	0.026582435	2104	1.6545381546020508
538.0	1.4623598	0.45115256	3.4454496	1.0136664	0.020223	1.4603375	0.024528095	2204	1.7281901836395264
563.0	1.3534257	0.313182	2.2388673	1.0519907	0.010177103	1.3524079	0.014240597	2304	1.8037564754486084
588.0	1.9153422	0.31892043	2.5323696	1.3716103	0.030200284	1.912322	0.03605125	2404	1.8809733390808105
613.0	1.2082897	0.34621197	2.4643319	0.88469815	0.020184636	1.2062712	0.0274211	2504	1.9584980010986328
