Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossDist	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.22855133	-0.5997138	0.16991347	-0.19759256	-1.0599761	25.192492	-0.07505351	0.05785662	0.114659905	-0.25614685	32000	-4.2654574e-06	0.042602398	0.028519504	-0.023748357	-0.030089537	2.826127	0.015170816	0.3811875	15.0	14.925706148147583
1	0.0	0.35480857	-0.41252726	0.15701972	0.010614238	-0.86215633	23.076246	-0.23018801	0.09341535	0.20392334	-0.4295991	64000	-3.0957162e-06	0.015991865	0.02821739	-0.02483476	-0.006910507	2.8191068	0.016269315	0.49637496	18.0	30.853228092193604
2	0.0	0.37077424	-0.2221416	0.13401139	0.1692654	-0.6362611	21.330164	-0.14334425	0.0819632	0.23458877	-0.3032795	96000	-1.755543e-06	0.013801411	0.027840052	-0.026925327	-0.0059022186	2.7822876	0.015939457	0.40840626	13.0	45.44494390487671
3	0.022916667	0.4779501	-0.083096005	0.24806596	1.2860762	-0.41850328	19.9	-0.07750196	0.04938316	0.043064684	-0.19477274	128000	-6.7427754e-07	0.030318674	0.027237259	-0.012951717	-0.0054662675	2.722334	0.016375024	0.44575	13.0	60.08722257614136
4	0.12499127	0.5897434	0.04484418	0.47100917	1.436924	-0.45489365	16.395702	-0.03563417	0.05151158	0.13320158	-0.38636267	160000	-2.1122396e-06	0.12394795	0.026359636	-0.0072986134	-0.024515115	2.6344943	0.013585584	0.10928125	79.0	89.39066791534424
5	0.099194124	0.63189554	-0.005918025	0.4528061	1.4209228	-0.64412224	14.527982	0.039142724	0.119230464	0.4191746	-0.4194158	192000	-1.2051314e-06	0.13378677	0.02549504	-0.004845117	-0.023820944	2.5485198	0.009667298	0.052375	79.0	118.82290887832642
6	0.12590104	0.6940418	0.0394568	0.48301843	1.4181502	-0.4250704	12.826955	-0.001076183	0.12580146	0.4781826	-0.414679	224000	4.7571957e-06	0.15902305	0.02539568	-0.0060960436	-0.031363968	2.5387218	0.01151298	0.06965625	79.0	148.21013855934143
7	0.1480831	0.59897983	0.07585184	0.533685	1.4480537	-0.51691514	14.919962	0.05803181	0.16747911	0.7633305	-0.5317296	256000	1.3648532e-05	0.16709831	0.025358068	-0.006518647	-0.026642127	2.5349908	0.009632705	0.06315625	79.0	177.50677466392517
8	0.121544555	0.68277526	0.03917171	0.49144053	1.44336	-0.40284944	12.720612	0.043295685	0.15178138	0.6316144	-0.3882853	288000	5.4892153e-06	0.16096263	0.0251569	-0.0072868383	-0.022515547	2.514594	0.009867864	0.063875005	79.0	206.78196263313293
9	0.14598572	0.69196403	0.0665697	0.521748	1.4533262	-0.41727293	12.288432	0.048175268	0.14063244	0.6431623	-0.42706922	320000	-3.3332035e-06	0.18142766	0.025303597	-0.0068270788	-0.03187807	2.5292373	0.008307885	0.04934375	79.0	236.14675378799438
