Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossDist	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.22753792	-0.6268359	0.17839587	-0.19717985	-1.1195905	25.046677	0.05628007	0.053730488	0.19981852	-0.10235348	32000	3.1515956e-06	0.10921405	0.028623529	-0.022547724	-0.09447946	2.8238962	0.015679238	0.38740623	16.0	18.50946354866028
1	0.0	0.36496833	-0.44646603	0.15026423	-0.08589639	-0.90639454	22.836231	-0.2677098	0.059079323	0.11285506	-0.44113922	64000	-3.2121316e-06	0.020222869	0.028190855	-0.020158555	-0.010397619	2.816449	0.01595242	0.36325002	18.0	37.657373666763306
2	0.0	0.3147424	-0.2505957	0.13388333	0.14386086	-0.7278116	22.756466	-0.16518892	0.080281936	0.20877877	-0.33637643	96000	-5.11948e-06	0.015076995	0.02784286	-0.026419522	-0.007393337	2.7825701	0.015733173	0.39884374	12.0	54.74565601348877
3	0.015064698	0.45814058	-0.11707129	0.21609388	1.2861679	-0.47445074	19.715088	-0.09407836	0.049360212	0.07996777	-0.20912503	128000	3.632158e-07	0.024633825	0.027368013	-0.017048448	-0.0057314895	2.7353692	0.016888358	0.4683125	11.0	71.72160959243774
4	0.08998993	0.59809315	0.0029139877	0.41113976	1.3943484	-0.37063017	17.0456	-0.027159931	0.060934555	0.23674975	-0.20129894	160000	-2.0014122e-06	0.09981588	0.026466325	-0.00928227	-0.021330444	2.6448483	0.013533236	0.13184375	79.0	106.7549831867218
5	0.13400188	0.62451637	0.052166156	0.5070567	1.4333478	-0.40220147	14.676772	0.021075886	0.11500301	0.48172048	-0.31841984	192000	-1.0515563e-05	0.15723969	0.025548281	-0.006315577	-0.02738062	2.553447	0.01019621	0.08471875	79.0	142.06459832191467
6	0.11966645	0.6670656	0.022024348	0.49677184	1.4644455	-0.48694515	13.229515	0.02252229	0.109741196	0.5082957	-0.32497108	224000	-4.110858e-06	0.16626191	0.024967378	-0.0045493674	-0.022734702	2.4955845	0.007294443	0.03915625	79.0	177.15276527404785
7	0.13066451	0.69072026	0.04195965	0.5141772	1.4583098	-0.5289031	12.090943	0.023413556	0.14492123	0.66981184	-0.46320644	256000	1.0065734e-05	0.19232498	0.024797397	-0.007079554	-0.03703125	2.4785156	0.011682706	0.077625	79.0	212.10130214691162
8	0.10600411	0.71373034	0.010144641	0.47000736	1.4500254	-0.5326583	11.475504	0.013624981	0.1633488	0.65784776	-0.48542702	288000	4.1127205e-06	0.1630562	0.02471074	-0.0060788235	-0.027737793	2.4697337	0.009913648	0.053937502	79.0	247.13276553153992
9	0.09700022	0.72544175	2.5948666e-05	0.44187498	1.4448591	-0.39013037	11.936747	0.02987254	0.15815212	0.6425409	-0.44319573	320000	1.2814999e-06	0.15298215	0.024975086	-0.007799985	-0.03869716	2.4960911	0.009258678	0.06521875	79.0	282.1213037967682
10	0.14900449	0.6794479	0.09131408	0.52807313	1.4288074	-0.33878228	12.771371	0.036949076	0.14893308	0.631082	-0.4067638	352000	-3.7355348e-06	0.18093419	0.024680931	-0.0066504194	-0.040855087	2.4665847	0.008624651	0.0511875	79.0	317.1813271045685
11	0.13879493	0.6800363	0.074759565	0.5102768	1.453658	-0.34807262	12.789984	0.0668633	0.16206242	0.788514	-0.45343196	384000	4.079193e-06	0.16957188	0.024907146	-0.0077770744	-0.032970864	2.4889982	0.00823506	0.06506249	79.0	352.35744738578796
12	0.12169495	0.6739269	0.058073472	0.48327982	1.431694	-0.3021234	12.700721	0.07409108	0.14703058	0.53417015	-0.38131872	416000	6.519258e-08	0.14687562	0.024662469	-0.0075211753	-0.025788609	2.4643893	0.010577233	0.07403125	79.0	387.4795517921448
13	0.21366009	0.5659902	0.19664958	0.602142	1.4610115	-0.29878825	14.814607	0.08881515	0.16352002	0.68480474	-0.4575344	448000	1.400616e-05	0.19408956	0.024800925	-0.008829734	-0.027352246	2.4778366	0.007981075	0.0699375	79.0	422.7596139907837
14	0.20287207	0.60192746	0.18058476	0.589423	1.452366	-0.34179607	13.817509	0.17534715	0.16119295	0.8953191	-0.2819246	480000	-5.012378e-06	0.19432083	0.02446486	-0.0080416	-0.03152249	2.4431448	0.0065999953	0.061406247	79.0	458.0031781196594
15	0.15636848	0.6749522	0.106323384	0.54381734	1.4916283	-0.35380659	12.116412	0.15455665	0.16098166	0.7861099	-0.27697015	512000	2.5670975e-05	0.17993109	0.024324827	-0.009378381	-0.03535257	2.4278905	0.010545712	0.0833125	79.0	493.11180424690247
16	0.1839797	0.65495944	0.14641108	0.5839281	1.4732053	-0.29453894	12.448276	0.14063437	0.19193015	0.90697765	-0.49669316	544000	2.6557595e-05	0.18792894	0.023990791	-0.010365592	-0.032550335	2.393664	0.0068734586	0.0731875	79.0	528.1337656974792
17	0.22314458	0.5848595	0.20887499	0.6216253	1.4539113	-0.3113148	13.747392	0.1449379	0.20894463	1.0289193	-0.5483686	576000	-2.2351742e-08	0.19645157	0.023908805	-0.011093743	-0.0424639	2.3844962	0.008944759	0.08828125	79.0	563.2719206809998
18	0.25304312	0.5681739	0.25266716	0.65107685	1.480587	-0.30652973	13.613208	0.15289032	0.2145069	0.9042814	-0.49517706	608000	-5.4962e-06	0.2143606	0.02380266	-0.010988636	-0.045343913	2.3713312	0.008794608	0.097406246	79.0	598.35356092453
19	0.32844576	0.4931966	0.37489718	0.6924519	1.4908296	-0.30214992	15.186898	0.23198834	0.24242201	0.9482396	-0.71121854	640000	3.1553209e-06	0.22600687	0.023850938	-0.011541811	-0.057551086	2.3757582	0.0094546415	0.0935625	79.0	633.708176612854
20	0.32499275	0.51249623	0.36504564	0.7093146	1.4892124	-0.3587338	14.04707	0.3204312	0.2333197	1.1461395	-0.4096689	672000	2.9126182e-05	0.22945721	0.023409136	-0.009727964	-0.049240176	2.3307571	0.007836789	0.072124995	79.0	668.6645455360413
21	0.24755016	0.57207286	0.2560884	0.6509043	1.4891269	-0.369211	13.885123	0.2927867	0.2748288	1.2699695	-0.63315487	704000	4.5330264e-05	0.21228467	0.023559649	-0.011425551	-0.044263422	2.34367	0.008883231	0.0936875	79.0	703.5902361869812
22	0.27790773	0.57350755	0.29432857	0.6753554	1.5029963	-0.3112845	13.19625	0.21169497	0.24101974	1.0028608	-0.549213	736000	6.155111e-05	0.22050494	0.023428943	-0.010853051	-0.05291771	2.3299174	0.007717923	0.0818125	79.0	738.8366651535034
23	0.3122198	0.5522673	0.34839174	0.7041485	1.4935461	-0.3593574	13.568377	0.30926824	0.24330372	1.2405741	-0.32626557	768000	2.779672e-05	0.2151722	0.023372605	-0.011282889	-0.048269264	2.32444	0.0093577895	0.093062505	79.0	773.9948887825012
24	0.3404472	0.5019074	0.39175865	0.717526	1.4882147	-0.4373157	14.307554	0.3245403	0.27307418	1.2034764	-0.6447088	800000	-0.00014503533	0.21032065	0.023425985	-0.011134702	-0.035154454	2.3277068	0.008349948	0.0860625	79.0	809.3037493228912
25	0.39142996	0.4599009	0.46030214	0.741188	1.5067774	-0.46777144	14.168011	0.37078822	0.27805167	1.259209	-0.5676168	832000	-7.2158873e-06	0.22974932	0.023396	-0.010184562	-0.06475878	2.3246849	0.0077040824	0.08015625	79.0	844.3526966571808
26	0.410735	0.44065043	0.5089243	0.7473811	1.5097125	-0.33102316	14.9295845	0.42176196	0.27060255	1.3509153	-0.45311612	864000	-1.6144477e-05	0.22957587	0.023008058	-0.010734174	-0.048033226	2.286892	0.008292618	0.08465625	79.0	879.4679324626923
27	0.4155053	0.4396965	0.5095974	0.7482519	1.5281557	-0.4326022	14.786847	0.37789017	0.2671994	1.2288805	-0.43775222	896000	0.00011594128	0.2232281	0.022879995	-0.011400715	-0.055169865	2.2728076	0.00895271	0.09693751	79.0	914.6495943069458
28	0.37303916	0.5019582	0.4436074	0.73730993	1.5146811	-0.3370135	13.600945	0.40329257	0.2981116	1.2832894	-0.6646865	928000	0.00012374204	0.2184521	0.02254857	-0.01171574	-0.057787053	2.2361345	0.008444796	0.09284375	79.0	949.7570209503174
29	0.36967832	0.5087472	0.42937803	0.7319603	1.5081555	-0.388181	13.51453	0.36572692	0.27830735	1.1423419	-0.48733446	960000	3.7571415e-05	0.23241243	0.022519078	-0.011183286	-0.08450375	2.2342415	0.008491661	0.0875625	79.0	984.8164863586426
30	0.35571393	0.47860032	0.42608324	0.72599167	1.5058447	-0.4040634	14.423358	0.43822393	0.29710352	1.4799997	-0.4302367	992000	1.5355647e-05	0.24564552	0.022060124	-0.012086739	-0.09076385	2.186847	0.00920184	0.094000004	79.0	1020.0476579666138
31	0.4810021	0.41541845	0.59511924	0.7582704	1.4949969	-0.36411297	14.601377	0.39609215	0.29300177	1.2613443	-0.6813535	1024000	0.00016283896	0.23263456	0.021713264	-0.013176687	-0.073999494	2.1518617	0.0085708285	0.10440625	79.0	1055.0887763500214
32	0.46062958	0.40303087	0.5678702	0.761116	1.4982023	-0.3564354	14.766233	0.4755669	0.2804647	1.1642231	-0.5929284	1056000	-7.718429e-05	0.22236699	0.021580096	-0.0122329965	-0.06653899	2.1346903	0.009007795	0.099	79.0	1090.2076389789581
33	0.55593044	0.34967655	0.71785206	0.7638083	1.5260245	-0.35677335	15.265474	0.49945977	0.25782096	1.2088034	-0.38899803	1088000	4.3488573e-05	0.21681148	0.021188468	-0.011262074	-0.0485195	2.0982192	0.0064143986	0.08384375	79.0	1125.171663761139
34	0.537972	0.37025976	0.69524574	0.77208143	1.5177784	-0.4593131	14.738339	0.5667413	0.25662196	1.2740566	-0.5415834	1120000	4.3169595e-05	0.20553972	0.020951381	-0.012316215	-0.054557197	2.0736275	0.00902012	0.0985625	79.0	1160.2049703598022
35	0.5038292	0.39988893	0.6342134	0.7649337	1.5179513	-0.35477132	14.628004	0.5276191	0.32539657	1.481687	-0.4709794	1152000	-7.097982e-05	0.2272127	0.020919697	-0.012187785	-0.07039367	2.067271	0.007978681	0.0875625	79.0	1195.2002058029175
36	0.45425242	0.4658221	0.54935175	0.7758509	1.5063529	-0.3617416	13.357264	0.49508086	0.30045953	1.3530627	-0.5401711	1184000	-0.000121578574	0.21873735	0.020686463	-0.011940643	-0.07040505	2.0442314	0.0069837025	0.09109375	79.0	1230.479472398758
37	0.47295725	0.43348128	0.58822566	0.7673238	1.5213529	-0.43237156	14.424545	0.55592257	0.325691	1.6189387	-0.5107331	1216000	-6.482005e-05	0.2405721	0.020288542	-0.012028333	-0.084720686	2.005879	0.0068479544	0.0895625	79.0	1265.675196647644
38	0.5459454	0.38044056	0.6998084	0.77582306	1.4997222	-0.39390546	14.308558	0.4982161	0.27311662	1.268535	-0.6438009	1248000	2.6645139e-06	0.21385333	0.020093802	-0.01258695	-0.059232853	1.9856638	0.0073052025	0.10109375	79.0	1300.7699818611145
39	0.520792	0.367566	0.66007936	0.7763712	1.5101444	-0.4656412	14.945489	0.58203346	0.2937233	1.472097	-0.3467583	1280000	9.845477e-06	0.22726643	0.01996132	-0.011833953	-0.07784112	1.967854	0.00745372	0.0909375	79.0	1335.8968336582184
40	0.5927868	0.3058248	0.78956294	0.7601061	1.5198092	-0.42041516	15.374516	0.5614482	0.30056763	1.3888812	-0.4914885	1312000	8.0343336e-05	0.21978891	0.019261012	-0.011499727	-0.06359536	1.9026972	0.006251812	0.0840625	79.0	1370.952620267868
41	0.64376813	0.30580607	0.86772805	0.74908435	1.5209917	-0.42170683	14.847197	0.6215017	0.2841233	1.4117292	-0.47585338	1344000	6.524101e-05	0.18205436	0.01860426	-0.011995907	-0.04445135	1.8354118	0.00878349	0.08940625	79.0	1405.95370554924
42	0.5892428	0.3351891	0.77176946	0.77371055	1.5168401	-0.7349797	14.481751	0.6348568	0.29234582	1.5088199	-0.38276783	1376000	-0.00013335422	0.2009495	0.018721525	-0.011430489	-0.059683315	1.8428781	0.0070458082	0.090625	79.0	1440.9726111888885
43	0.51591015	0.4412591	0.6471285	0.79656506	1.5141878	-1.0245396	12.881922	0.58362526	0.2974349	1.3145412	-0.5513058	1408000	-0.00010107504	0.20583293	0.018621188	-0.012126237	-0.055916816	1.8331587	0.007331712	0.0925	79.0	1476.0583744049072
44	0.5391207	0.40223396	0.6759405	0.7892592	1.5181425	-0.53702545	13.722751	0.6090704	0.32587373	1.5736494	-0.799178	1440000	7.40625e-05	0.21074526	0.018292634	-0.011940332	-0.06330288	1.8006904	0.0076020816	0.09328125	79.0	1511.128103017807
45	0.5848659	0.33756262	0.77175623	0.77908206	1.5096703	-0.56555176	14.5404415	0.6003051	0.2934908	1.4780873	-0.52916175	1472000	1.15241855e-05	0.20931372	0.017909333	-0.0119110625	-0.059609182	1.7629323	0.009474335	0.09090625	79.0	1546.0545344352722
46	0.5934895	0.32473958	0.7771549	0.7794826	1.512421	-0.42012757	14.506868	0.6197064	0.31348222	1.4502689	-0.6148439	1504000	-2.5331974e-05	0.21400112	0.018187946	-0.01245692	-0.058073457	1.7857771	0.0071895	0.08915625	79.0	1581.1776678562164
47	0.6375464	0.29426888	0.8506766	0.7567395	1.5266964	-0.79651946	15.014177	0.6329315	0.29856047	1.325957	-0.3454085	1536000	0.00011843513	0.20098071	0.01764173	-0.012079671	-0.05787627	1.7378523	0.006509007	0.090312496	79.0	1616.5320513248444
