Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossDist	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.25546718	-0.0057678763	0.18934056	0.4958705	-0.4265303	24.34645	0.15615763	0.04630562	0.3054366	0.012375947	32000	1.322478e-06	0.036222283	0.028620975	-0.019084252	-0.026659034	2.8201687	0.0150622055	0.217875	25.0	24.57680106163025
1	0.0	0.39804572	0.07839882	0.23776324	0.5326411	-0.43715408	21.472677	-0.009691424	0.028810596	0.095767975	-0.1428266	64000	2.8037466e-06	0.018677153	0.028089778	-0.018387835	-0.0032686237	2.8056393	0.015204662	0.36009377	21.0	47.945034980773926
2	0.0	0.34250998	0.2349361	0.29148883	0.74627256	-0.37597933	21.621918	0.039199866	0.04001354	0.16353601	-0.10369336	96000	8.1490725e-06	0.024907399	0.027763119	-0.01670269	-0.008137364	2.7741313	0.015437778	0.27100003	17.0	69.29913973808289
3	0.02869878	0.40372306	0.353714	0.4160689	1.7696766	-0.28878027	20.829815	0.08854489	0.06602291	0.26906523	-0.20207644	128000	-3.2456592e-06	0.052259043	0.027192168	-0.008517325	-0.014451359	2.7171583	0.01544974	0.20496875	15.0	90.82266068458557
4	0.112910286	0.6234907	0.33068317	0.5849256	1.7682259	-0.272141	15.637352	0.1686199	0.10041896	0.43637222	-0.36939594	160000	-2.278015e-06	0.14174616	0.026414221	-0.0058326395	-0.028096009	2.6395512	0.009028606	0.05540625	79.0	132.2251422405243
5	0.13320711	0.58688927	0.3937377	0.59574825	1.7697504	-0.28340885	16.481771	0.19697598	0.15078479	0.6930549	-0.4224061	192000	-1.9930303e-07	0.14824705	0.025869142	-0.004767102	-0.029286679	2.5856392	0.009145306	0.03084375	79.0	172.78648447990417
6	0.12289461	0.6118003	0.36854	0.58799434	1.7696408	-0.28027788	16.018219	0.22223839	0.17253734	0.88695234	-0.44063008	224000	-3.1106174e-06	0.140596	0.02586619	-0.006092532	-0.027778145	2.585403	0.00891122	0.053875	79.0	214.42489790916443
7	0.18650575	0.5040791	0.5114739	0.6616379	1.7699312	-0.2762227	18.108046	0.23164645	0.15478912	0.76585037	-0.2709554	256000	-2.8312206e-07	0.16057827	0.025696939	-0.006150719	-0.028563434	2.5682583	0.007289633	0.0404375	79.0	255.59374904632568
8	0.17285389	0.5484445	0.4620237	0.659433	1.7699792	-0.29040477	17.190632	0.3086692	0.14489685	0.7943116	-0.25178978	288000	1.2194738e-05	0.16040415	0.025691308	-0.007800422	-0.039830834	2.5676024	0.010983025	0.069781244	79.0	299.0832681655884
9	0.15525205	0.59757125	0.4097433	0.637612	1.7692674	-0.27190015	16.052631	0.26991165	0.19554213	1.0606726	-0.50054747	320000	-7.699244e-06	0.16390349	0.025607256	-0.007661138	-0.039920866	2.558713	0.008357573	0.05065625	79.0	340.52850890159607
10	0.14935601	0.56625867	0.4142764	0.6345277	1.7697265	-0.264221	16.548538	0.3239174	0.22108564	1.0339715	-0.4234752	352000	1.2242235e-06	0.18645246	0.025644703	-0.008774117	-0.0713167	2.561833	0.009975997	0.06453125	79.0	381.6678283214569
11	0.17911299	0.56416184	0.4548415	0.6738295	1.7699082	-0.36999	16.581932	0.2587067	0.17045563	0.8597142	-0.27630773	384000	1.9039027e-05	0.15888685	0.025586162	-0.009708133	-0.032596957	2.5560298	0.008771586	0.08140625	79.0	423.1999022960663
12	0.19858706	0.505525	0.5115527	0.67868775	1.769656	-0.27446112	17.567371	0.34251177	0.21047764	1.0075352	-0.3465215	416000	6.5146014e-06	0.17186078	0.025370818	-0.009524632	-0.038430657	2.5336986	0.00777811	0.0734375	79.0	465.07746720314026
13	0.17822497	0.57014513	0.42900747	0.6743512	1.7697287	-0.29115662	15.834669	0.2947408	0.19646442	0.856705	-0.378504	448000	3.9860606e-06	0.1711308	0.025331378	-0.009346539	-0.038159803	2.5289927	0.0070791612	0.07871875	79.0	506.4182951450348
14	0.24232617	0.45992273	0.5790232	0.71579164	1.7698287	-0.24349324	17.851915	0.2998681	0.23714128	1.2442765	-0.3480475	480000	2.2936612e-05	0.18535788	0.024977751	-0.009283949	-0.043033663	2.4930463	0.00856395	0.07646875	79.0	547.1014058589935
15	0.23846129	0.5288702	0.5244799	0.7214702	1.7697666	-0.27535355	16.19753	0.33056968	0.22238907	1.0194167	-0.35831577	512000	-1.931563e-05	0.2059094	0.02479868	-0.011039481	-0.051228665	2.4736736	0.01025978	0.08903125	79.0	589.0920877456665
16	0.23789838	0.4716406	0.55819374	0.7222583	1.7699289	-0.29656678	17.592281	0.35125035	0.22535051	1.1839027	-0.32802075	544000	-2.4739653e-05	0.1936367	0.024951238	-0.010199914	-0.059334658	2.4873462	0.0059605995	0.08778125	79.0	629.2611310482025
17	0.2662921	0.43998557	0.61809206	0.73360014	1.7699815	-0.27737945	17.94863	0.33741045	0.23914509	1.0064659	-0.5485139	576000	-3.1271484e-05	0.17817321	0.024822291	-0.011702	-0.047378637	2.4738808	0.008352028	0.09315625	79.0	670.1291513442993
18	0.2967521	0.48479056	0.61415845	0.7811991	1.7698287	-0.30731982	16.452703	0.38685453	0.23658706	1.3562274	-0.38403925	608000	3.2078475e-05	0.19213916	0.024731299	-0.010307908	-0.03789474	2.464552	0.008073625	0.079125	79.0	710.6168892383575
19	0.28214812	0.50823665	0.5823807	0.78181505	1.7699019	-0.2987485	15.888104	0.44163403	0.25130388	1.3197407	-0.40093666	640000	-8.12253e-06	0.20528117	0.024659421	-0.011631394	-0.04882914	2.4547498	0.009806935	0.08871875	79.0	750.0064880847931
20	0.3964826	0.38197693	0.8071012	0.80597675	1.7699969	-0.28715584	18.085617	0.43919384	0.2463597	1.1457819	-0.39722306	672000	-7.5828284e-06	0.21284479	0.024529964	-0.012459351	-0.054974556	2.4424784	0.008052479	0.09434375	79.0	791.465497970581
21	0.33924875	0.46869373	0.68670994	0.8021897	1.7699792	-0.2710359	16.47973	0.47932813	0.25708863	1.2321081	-0.45396212	704000	1.9408762e-06	0.21236554	0.024288666	-0.0106874285	-0.04785824	2.4174643	0.008129487	0.08459376	79.0	833.5600209236145
22	0.36141908	0.39529458	0.75907946	0.7915577	1.7699019	-0.2716125	17.947609	0.48989674	0.26611757	1.3080189	-0.3877418	736000	-1.848489e-05	0.224893	0.024053236	-0.012561886	-0.07814682	2.393705	0.008955583	0.10159375	79.0	875.2469260692596
23	0.37756243	0.38680214	0.7782083	0.8054853	1.769953	-0.2631939	18.047483	0.45570928	0.2733084	1.184999	-0.4410762	768000	-9.3355775e-06	0.23057896	0.023923734	-0.012058026	-0.075375624	2.3802319	0.008012334	0.095656246	79.0	915.7358138561249
24	0.43737528	0.32066274	0.88312674	0.81080025	1.7698941	-0.29636797	18.57377	0.46356067	0.25621063	1.2760478	-0.3550347	800000	-1.0007992e-05	0.20109564	0.023808802	-0.012409305	-0.046055917	2.3685553	0.0078627635	0.10496875	79.0	956.8538763523102
25	0.43015128	0.36394578	0.85620433	0.8194474	1.7699969	-0.2870822	17.664799	0.54887605	0.26735014	1.2437704	-0.4142844	832000	1.9398984e-05	0.2072227	0.023608819	-0.01166938	-0.046409987	2.345806	0.008019175	0.088375	79.0	997.824230670929
26	0.41509482	0.39647457	0.8215956	0.82308555	1.7699019	-0.2886939	16.91274	0.55803853	0.28087935	1.3019751	-0.36257952	864000	-2.7494505e-05	0.23364684	0.023552258	-0.012520855	-0.07155592	2.3399358	0.007832838	0.09059375	79.0	1037.6333651542664
27	0.44448692	0.3927805	0.84677577	0.84892505	1.7697134	-0.3186494	16.58159	0.5308728	0.26636332	1.3863804	-0.42951205	896000	-2.0004809e-05	0.21196786	0.023388125	-0.012570181	-0.055686757	2.3215294	0.010049684	0.09962501	79.0	1079.4774732589722
28	0.44327903	0.40072623	0.8343241	0.8553999	1.7698494	-0.30675852	16.137474	0.5835042	0.2876143	1.4488868	-0.35719207	928000	4.672259e-05	0.21669139	0.023177803	-0.012641084	-0.054778233	2.3007822	0.007924318	0.0951875	79.0	1120.2561542987823
29	0.50905454	0.33942473	0.95230436	0.8518862	1.7699792	-0.4415596	17.147505	0.5894553	0.27012107	1.1984231	-0.5869358	960000	-6.601168e-05	0.19814634	0.023052096	-0.013207733	-0.054116916	2.2842813	0.01059032	0.1129375	79.0	1162.6968369483948
30	0.4372366	0.38168848	0.85833764	0.83116174	1.7698125	-0.27726144	17.076717	0.6438161	0.29394934	1.4385028	-0.35090858	992000	-2.8091948e-05	0.23759958	0.022875614	-0.013698915	-0.06939593	2.2676663	0.009372408	0.114593744	79.0	1203.7779982089996
31	0.5703516	0.2855779	1.0599924	0.8333036	1.7695404	-0.27050886	17.606985	0.59014505	0.2583941	1.4188949	-0.3267775	1024000	6.912649e-05	0.1991431	0.022635851	-0.013092101	-0.057605498	2.2444615	0.0068015633	0.104125	79.0	1243.736573934555
32	0.5475597	0.30613798	1.0360876	0.82531995	1.7699969	-0.2939724	17.468132	0.6653932	0.2908868	1.3618492	-0.47151622	1056000	-0.00012850063	0.20189911	0.022623233	-0.0126951365	-0.052264653	2.2404542	0.008117447	0.10134375	79.0	1285.5587418079376
33	0.49382776	0.31946802	0.94890887	0.8377398	1.7695243	-0.27604344	16.872068	0.6389118	0.2846833	1.3890055	-0.33874583	1088000	-0.00015115086	0.2061362	0.022246622	-0.012455784	-0.060614944	2.2061234	0.008461634	0.098375	79.0	1325.3698816299438
34	0.5415802	0.32463986	1.0078793	0.84448516	1.7694544	-0.2700442	16.412863	0.6711758	0.29270098	1.4247137	-0.38612953	1120000	-5.2412972e-05	0.21935223	0.02180308	-0.013232345	-0.060929667	2.1580086	0.009413909	0.0953125	79.0	1366.9472706317902
