Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossDist	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
22	0.22163956	0.5754004	0.21813439	0.62531555	1.459632	-0.30847356	14.005742	0.24643332	0.22780333	0.9544436	-0.5933285	736000	1.8715858e-05	0.20996115	0.02355732	-0.010552194	-0.05709186	2.3471513	0.008772969	0.08090625	79.0	603.6102275848389
23	0.31041384	0.54919744	0.33483917	0.7018253	1.4890187	-0.3539367	13.844737	0.2231438	0.22905242	1.0847611	-0.56478214	768000	-1.1321157e-05	0.2277304	0.023308128	-0.00966983	-0.05370187	2.3222704	0.0063626766	0.0646875	79.0	633.0292873382568
24	0.26343817	0.58437616	0.26519883	0.6691334	1.4721885	-0.32900873	13.654475	0.30762422	0.24609181	1.1548352	-0.45087758	800000	-1.955498e-05	0.2079335	0.02323348	-0.0106853	-0.042014766	2.3144317	0.008192703	0.075718746	79.0	662.4361112117767
25	0.32684416	0.49884278	0.367401	0.7133832	1.4839476	-0.33262596	14.489071	0.2723872	0.25554967	1.0652796	-0.5013073	832000	-1.4390796e-05	0.23710611	0.023193434	-0.010917569	-0.064604536	2.307872	0.009035993	0.08121875	79.0	691.7544651031494
26	0.30534127	0.5437483	0.3404522	0.6919188	1.4865282	-0.34372658	14.113191	0.29141265	0.25799763	1.1084164	-0.5391895	864000	8.38181e-05	0.21160468	0.023234908	-0.011076869	-0.046816405	2.3119683	0.009003619	0.08365625	79.0	721.2078425884247
27	0.34066665	0.49970007	0.39683607	0.70845187	1.4949436	-0.35276663	14.465722	0.30545175	0.26635402	1.1705483	-0.42970765	896000	4.722923e-05	0.22712511	0.022898708	-0.011343807	-0.067795746	2.276081	0.008730736	0.08325	79.0	750.6147871017456
28	0.3796094	0.4640758	0.4568924	0.72471786	1.4862114	-0.35217836	15.091905	0.36723897	0.27536833	1.2331843	-0.42997956	928000	4.945323e-06	0.2466019	0.022610385	-0.011463915	-0.08988392	2.248835	0.009718822	0.090125	79.0	780.1081433296204
29	0.32129386	0.5124954	0.3668591	0.70853287	1.4952147	-0.34187832	14.263538	0.3676565	0.255241	1.1626265	-0.5434459	960000	2.8615817e-05	0.22289827	0.022522788	-0.010814827	-0.07005794	2.2400074	0.010958282	0.081125	79.0	809.4364144802094
30	0.40708885	0.46276513	0.48618528	0.7475118	1.481649	-0.34544975	14.625462	0.3236092	0.270425	1.4011774	-0.65237033	992000	8.458272e-06	0.24851096	0.02236104	-0.0110842185	-0.08558985	2.223581	0.008062676	0.09	79.0	838.8324475288391
31	0.30365467	0.54415256	0.32117206	0.7086052	1.4833554	-0.4032801	13.844948	0.40251678	0.26729262	1.1419126	-0.5563413	1024000	1.0430813e-05	0.22899684	0.022229867	-0.011812858	-0.059185445	2.2107491	0.0076814257	0.09109375	79.0	868.3068552017212
32	0.39249063	0.51089215	0.45692945	0.7528609	1.5092373	-0.3068379	13.561644	0.29871663	0.27602747	1.237999	-0.47088027	1056000	2.0749867e-05	0.24697153	0.02188321	-0.012422383	-0.08464273	2.1749258	0.0099758115	0.0918125	79.0	897.8168022632599
33	0.3632983	0.46645427	0.43493143	0.7253043	1.4941907	-0.3249619	14.922317	0.42633167	0.321379	1.3569248	-0.64043605	1088000	-4.077144e-05	0.24169138	0.021989983	-0.012179047	-0.07071799	2.1840098	0.00813868	0.09565625	79.0	927.2424829006195
34	0.40317693	0.4634916	0.49766755	0.7496659	1.4895444	-0.34618083	14.281924	0.35673797	0.27583185	1.1664886	-0.5759892	1120000	-4.1592866e-06	0.2265648	0.02163462	-0.012065241	-0.045240656	2.1484485	0.008283449	0.07853125	79.0	956.6073026657104
35	0.41468024	0.4561644	0.52012503	0.7525284	1.517052	-0.32962424	13.8896675	0.38701245	0.26028258	1.1871159	-0.34110942	1152000	-3.74401e-05	0.215772	0.021109462	-0.01140099	-0.048755176	2.095347	0.009642119	0.0810625	79.0	986.0204472541809
36	0.3993494	0.4866838	0.47586477	0.75092447	1.500323	-0.32455233	13.698618	0.41462487	0.29680502	1.231096	-0.8135237	1184000	1.5091151e-05	0.21578029	0.02103854	-0.01160781	-0.04987894	2.08737	0.008843141	0.0915	79.0	1015.4411039352417
37	0.4766037	0.4036915	0.6037429	0.7627665	1.5000333	-0.34566897	14.84934	0.45215705	0.28075504	1.177274	-0.5121874	1216000	5.868636e-05	0.23314437	0.020784032	-0.011806604	-0.066159315	2.061305	0.00909213	0.083875	79.0	1044.9630029201508
38	0.37602785	0.5234144	0.43971872	0.7560511	1.5085042	-0.35188806	12.928746	0.45735654	0.28244412	1.167494	-0.37697643	1248000	3.778655e-05	0.22406027	0.020268867	-0.009833263	-0.062425226	2.0096188	0.00627241	0.069749996	79.0	1074.378853559494
39	0.42192107	0.4846746	0.5096445	0.7766719	1.5129865	-0.3458538	13.265886	0.44950315	0.33549994	1.4753563	-0.62278956	1280000	-3.570225e-05	0.24256301	0.019907072	-0.011106073	-0.082693145	1.9714627	0.009453943	0.08371875	79.0	1103.728483915329
40	0.43409866	0.4393193	0.54703146	0.7643613	1.5147386	-0.34699267	14.237838	0.44330987	0.32056734	1.2789885	-0.68990797	1312000	2.4326146e-05	0.232425	0.020207675	-0.011321645	-0.079011746	1.9989054	0.009295394	0.092031255	79.0	1133.112472295761
41	0.46369433	0.42591664	0.5944572	0.7735203	1.5035882	-0.33461913	13.773954	0.47544968	0.32468948	1.4331427	-0.6061142	1344000	3.542332e-05	0.22639476	0.019838903	-0.010930235	-0.05857995	1.962925	0.008070985	0.08459376	79.0	1162.4501447677612
42	0.43219808	0.47545224	0.5457699	0.7719176	1.5246811	-0.33930427	12.942088	0.46301734	0.3179739	1.486534	-0.4813995	1376000	-1.0803342e-07	0.22620162	0.019609034	-0.010561401	-0.061431076	1.9371166	0.0077056866	0.081375	79.0	1191.9198260307312
43	0.46072936	0.45290527	0.57182467	0.78205466	1.5198593	-0.32267293	13.260852	0.4632074	0.31490856	1.4109988	-0.8672955	1408000	2.651615e-05	0.2069735	0.01942933	-0.011058925	-0.05975645	1.9206448	0.008672193	0.094625	79.0	1221.3914086818695
44	0.5186608	0.3960587	0.6797974	0.7785612	1.5183231	-0.30439767	13.816434	0.516896	0.3242761	1.4382784	-0.66968286	1440000	-5.9278682e-05	0.23448631	0.019068498	-0.011187374	-0.07351139	1.8856484	0.007209965	0.076812506	79.0	1250.8759984970093
45	0.4086157	0.52909595	0.48073423	0.7764284	1.5095243	-0.3386221	12.351246	0.55923253	0.30370733	1.3520683	-0.3990245	1472000	-7.483363e-05	0.23371711	0.019179683	-0.01047319	-0.06753574	1.8963438	0.007830362	0.08643749	79.0	1280.3128752708435
46	0.5342885	0.38445887	0.68623453	0.78834426	1.5298721	-0.39184517	13.795573	0.49472377	0.33648464	1.400043	-0.73877025	1504000	-2.4482608e-05	0.2292447	0.019163674	-0.0111659	-0.081357755	1.89516	0.008619841	0.087937504	79.0	1309.6880271434784
47	0.5417349	0.3511213	0.7225135	0.77273166	1.526737	-0.3664864	14.521639	0.56447124	0.32035917	1.4308778	-0.5121501	1536000	2.758624e-05	0.25393605	0.019113708	-0.011758544	-0.09302381	1.8854827	0.009460049	0.086125	79.0	1339.3221719264984
48	0.53614676	0.37510806	0.69869286	0.7883289	1.5186875	-0.3995758	13.66366	0.5631956	0.3205575	1.5641023	-0.63284314	1568000	0.00013849698	0.22622523	0.018988755	-0.011330411	-0.07443843	1.8720646	0.0073566996	0.078999996	79.0	1368.7427384853363
49	0.49851328	0.40460122	0.6475288	0.78276974	1.5137454	-0.34510997	13.562607	0.5484963	0.3160713	1.4688671	-0.40309447	1600000	2.8012786e-05	0.20766902	0.018622242	-0.011125467	-0.056990884	1.8341277	0.0072914017	0.09090625	79.0	1398.1287050247192
50	0.5563792	0.36979744	0.7349166	0.7856138	1.517043	-0.3321709	13.552048	0.57422614	0.32789907	1.5377274	-0.610308	1632000	-6.313808e-05	0.21395326	0.018407702	-0.0105702765	-0.06747523	1.8158102	0.00699063	0.069437504	79.0	1427.5057542324066
