Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.2669192	-0.5167545	0.16493663	-0.18194021	-0.970254	24.02848	0.061679963	0.06931364	0.25428718	-0.14255968	8000	8.009374e-08	0.09130584	-0.031722963	-0.0806413	2.8162792	0.010607895	0.25725	79.0	1.38242769241333
1	0.0	0.3532197	-0.32587183	0.13737221	0.008598399	-0.67967784	21.623564	-0.19855084	0.08640611	0.23137629	-0.39378175	16000	2.7939677e-08	0.019236404	-0.024692772	-0.012652532	2.8001583	0.015845304	0.40275002	13.0	2.2989184856414795
2	0.0125	0.27525252	-0.15814209	0.19119416	1.1100168	-0.505678	23.22256	-0.12510674	0.07285009	0.11953816	-0.34647623	24000	1.1175871e-08	0.020140633	-0.026705537	-0.011375189	2.7575223	0.01581562	0.255875	9.0	3.176293134689331
3	0.009615385	0.6016827	-0.12088802	0.19639252	1.1899201	-0.5518582	18.302382	-0.05103554	0.08267821	0.26548883	-0.25529763	32000	-9.313226e-09	0.030705985	-0.011487206	-0.017101899	2.700491	0.015387218	0.295375	11.0	4.160732269287109
4	0.08566057	0.6348725	6.2534826e-05	0.3810818	1.3679147	-0.320446	14.225191	-0.10105813	0.11238111	0.3620418	-0.5953099	40000	-5.5879354e-09	0.11103154	-0.0126117375	-0.062283732	2.6293068	0.015157864	0.139625	29.0	5.138885259628296
5	0.18495023	0.6392002	0.12991466	0.55174917	1.4212238	-0.41289032	13.431338	0.023165515	0.17389545	0.5110874	-0.5996313	48000	-3.7252903e-09	0.1880576	-0.019376379	-0.08292964	2.574718	0.011439357	0.122375	79.0	6.3524980545043945
6	0.09102604	0.8042908	-0.008037539	0.42967996	1.4771152	-0.38194218	9.542079	0.16429509	0.2920083	1.093889	-0.49967733	56000	3.7252903e-09	0.23559704	-0.025204565	-0.15860808	2.5058439	0.015033979	0.147375	79.0	7.473183870315552
7	0.107224025	0.72731876	0.024788462	0.46997744	1.4515299	-0.39334127	12.581699	0.13947974	0.27751577	1.0768232	-0.56639737	64000	9.313226e-10	0.21519834	-0.025182033	-0.14005359	2.5113792	0.014414946	0.133625	79.0	8.688099145889282
8	0.13206378	0.7685941	0.059070073	0.51613265	1.4597727	-0.3107795	9.760204	0.08100248	0.21117996	0.8230516	-0.5243803	72000	8.381903e-09	0.23249389	-0.023945168	-0.14641969	2.498573	0.0077749984	0.136875	79.0	9.834025382995605
9	0.25533733	0.62460494	0.24821094	0.6476	1.4581093	-0.53988564	13.060345	0.19954585	0.3400155	1.2404273	-0.77095103	80000	-7.450581e-09	0.24607691	-0.026826236	-0.13934879	2.4885187	0.013207832	0.1605	79.0	11.010489702224731
10	0.20322646	0.4784497	0.1630395	0.56747	1.4305894	-0.38741317	16.288136	0.19614533	0.38872084	1.2181242	-0.6950727	88000	7.450581e-09	0.2385289	-0.027900562	-0.16023357	2.5086474	0.012959036	0.176	79.0	12.165223836898804
11	0.12746075	0.69094664	0.05138958	0.49033204	1.422291	-0.34698522	12.117647	-0.01997833	0.2458936	1.0068214	-0.8042927	96000	9.313226e-09	0.15621753	-0.020171497	-0.09396093	2.4987378	0.015152544	0.183875	32.0	13.22065806388855
12	0.09634058	0.7960141	0.012601273	0.45148373	1.4655654	-0.32500792	10.046053	0.18043219	0.308116	1.1186211	-0.48644134	104000	0.0	0.21166936	-0.027812153	-0.12723511	2.4525044	0.0110171735	0.1525	79.0	14.356636047363281
13	0.11827514	0.774444	0.038442336	0.49110934	1.4976597	-0.28356835	10.283422	0.09273624	0.2437792	1.0714076	-0.42351246	112000	-9.313226e-09	0.1833056	-0.026533257	-0.100025706	2.4452696	0.015065644	0.148125	70.0	15.502220630645752
14	0.17405534	0.72004783	0.12194626	0.5662683	1.4744241	-0.29413426	10.501405	0.02687175	0.28085247	1.0767876	-0.7055769	120000	5.5879354e-09	0.27820763	-0.025840007	-0.16710845	2.4278903	0.015011739	0.154125	59.0	16.555168390274048
15	0.20926166	0.5931265	0.20270193	0.61142725	1.471704	-0.28512096	13.787769	0.1477229	0.3096533	1.18744	-0.6091664	128000	1.8626451e-09	0.31484696	-0.029739741	-0.20691556	2.4480968	0.015051514	0.192625	71.0	17.71177864074707
16	0.19146812	0.56831187	0.17915554	0.58038396	1.4501947	-0.24350797	14.150376	0.14046486	0.26503113	1.0203724	-0.592664	136000	3.7252903e-09	0.17766511	-0.027395155	-0.09269234	2.4636593	0.010953721	0.1665	79.0	18.839489221572876
17	0.27713424	0.52302635	0.294639	0.64728695	1.4610898	-0.28872246	14.958661	0.19279414	0.30276552	1.203455	-0.54332185	144000	7.450581e-09	0.281066	-0.028739665	-0.18849845	2.469145	0.015054827	0.202125	62.0	19.93346905708313
18	0.32264626	0.5240582	0.33489054	0.6753205	1.4626857	-0.27996647	14.183824	0.2527922	0.27608645	1.0279092	-0.384315	152000	1.4901161e-08	0.25625607	-0.031614404	-0.14697352	2.460118	0.015024523	0.20337501	73.0	21.02775812149048
19	0.34909624	0.50242203	0.3856227	0.7018273	1.447645	-0.30413014	14.034672	0.21727058	0.3048998	1.1322778	-0.5711125	160000	-1.4901161e-08	0.2394709	-0.028277863	-0.13391954	2.429981	0.015005445	0.164875	62.0	22.170925855636597
20	0.3911795	0.3888026	0.4703327	0.71232754	1.4893484	-0.30476573	16.595339	0.34010956	0.33239338	1.1325663	-0.6867932	168000	-9.313226e-10	0.23000285	-0.03392855	-0.13076173	2.4332807	0.015001833	0.185375	71.0	23.355698823928833
21	0.6023393	0.28128123	0.77520454	0.72980034	1.4634157	-0.29593024	16.797297	0.4377381	0.3253698	1.2238094	-0.50179744	176000	-9.313226e-09	0.23195508	-0.032187648	-0.150423	2.37542	0.014691285	0.18762499	79.0	24.50478172302246
22	0.35908484	0.41854906	0.42292958	0.7138222	1.4725578	-0.33800575	15.641394	0.5348395	0.3177419	1.3430133	-0.4906544	184000	3.7252903e-09	0.29509905	-0.033992246	-0.17987558	2.384437	0.014241513	0.191375	79.0	25.722938776016235
23	0.46787173	0.40966094	0.5573605	0.76449496	1.4820673	-0.33347183	15.046512	0.33772475	0.30224723	1.2395692	-0.48813194	192000	-3.7252903e-09	0.25104898	-0.03067698	-0.14197332	2.3734155	0.0151429325	0.18225	47.0	26.730223417282104
24	0.471875	0.42914623	0.58578974	0.75979346	1.48515	-0.32645333	14.492481	0.48903	0.29732478	1.3147191	-0.4249288	200000	-3.7252903e-09	0.24490726	-0.031579312	-0.13684145	2.3511276	0.015082345	0.189	61.0	27.88588786125183
25	0.48848087	0.43319583	0.60907435	0.77571094	1.487353	-0.36298302	13.2534485	0.5599573	0.32475075	1.3766592	-0.41045648	208000	0.0	0.23942964	-0.035587326	-0.14682637	2.2833385	0.013424758	0.208375	79.0	29.01869487762451
26	0.54144603	0.3808704	0.68429744	0.7625577	1.495434	-0.29138592	14.438433	0.54759586	0.4072037	1.496302	-0.75838476	216000	1.3038516e-08	0.20011063	-0.033795543	-0.10835832	2.2814703	0.014930133	0.195375	79.0	30.220062494277954
27	0.529972	0.4011321	0.6583962	0.7639363	1.5025345	-0.35742626	14.298872	0.5942545	0.31945288	1.3013024	-0.49949405	224000	1.1175871e-08	0.21042958	-0.034178264	-0.11963411	2.2705092	0.01320691	0.197	79.0	31.356703519821167
28	0.5667298	0.35721034	0.67309713	0.77689385	1.4820714	-0.38383895	14.1875	0.64094687	0.30997986	1.5060323	-0.52826244	232000	1.1175871e-08	0.18137223	-0.036467575	-0.09007977	2.2802272	0.014154816	0.2065	79.0	32.523638010025024
29	0.46134675	0.43130037	0.5639516	0.7747472	1.4896758	-0.3535622	13.805756	0.5905685	0.3535746	1.512327	-0.5997658	240000	-3.7252903e-09	0.22987892	-0.037233904	-0.13692386	2.2339566	0.014533486	0.20137501	79.0	33.671998262405396
30	0.50959516	0.46788648	0.6029878	0.78080064	1.4994099	-0.3152124	12.964766	0.44647735	0.36516804	1.2487997	-0.5524194	248000	-1.4901161e-08	0.20142694	-0.026492821	-0.13219005	2.234639	0.015419269	0.17575002	33.0	34.69638514518738
31	0.5299009	0.40587106	0.65578973	0.77906895	1.4769009	-0.41318017	13.9964285	0.63070935	0.3634713	1.6274011	-0.34225625	256000	5.5879354e-09	0.1675734	-0.026241133	-0.088854715	2.236969	0.015044559	0.164125	44.0	35.70483875274658
