Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.18923612	-0.62795573	0.19082935	-0.1721102	-0.98796237	25.890411	0.015566219	0.103793845	0.31610993	-0.29854244	8000	-5.3085387e-08	0.08944768	-0.022747718	-0.07779816	2.8051007	0.01516328	0.289	9.0	1.0671741962432861
1	0.0	0.37444156	-0.38822678	0.13134485	-0.16080767	-0.8070188	20.771978	-0.227389	0.07810047	-0.01184785	-0.4963362	16000	-2.2351742e-08	0.015006859	-0.021953164	-0.008239382	2.7991343	0.015097169	0.388	14.0	1.9669733047485352
2	0.0	0.3350913	-0.23850892	0.13491546	0.14765227	-0.5582222	21.632183	-0.17704937	0.06480378	0.08608945	-0.32438385	24000	2.0489097e-08	0.014668707	-0.030272868	-0.009554274	2.7740078	0.016632993	0.338625	13.0	2.8883461952209473
3	0.010416667	0.40120924	-0.11608862	0.18966192	1.179078	-0.577893	20.97826	-0.10288463	0.074461564	0.1480929	-0.3406619	32000	1.4901161e-08	0.021782592	-0.019842617	-0.012692193	2.7252734	0.016073281	0.275125	10.0	3.7694954872131348
4	0.023685517	0.6384089	-0.09721423	0.23841463	1.2571411	-0.46544474	15.128968	-0.05997429	0.10999411	0.30705783	-0.41410327	40000	1.1641532e-08	0.043210328	-0.011295498	-0.020704294	2.672717	0.016400985	0.23275	12.0	4.708241701126099
5	0.07564418	0.7316488	-0.016850619	0.37062457	1.416535	-0.30637157	12.541667	-0.024248928	0.11269475	0.32892793	-0.37734875	48000	1.1175871e-08	0.09898445	-0.01738642	-0.042917006	2.587738	0.011547948	0.11225	79.0	5.847179889678955
6	0.070244566	0.7882749	-0.028484372	0.36858585	1.3969095	-0.3417141	9.987113	-0.003220162	0.20176172	0.6645149	-0.58740324	56000	1.8626451e-08	0.12135853	-0.020921793	-0.085496955	2.5151887	0.011911811	0.152125	79.0	7.020218133926392
7	0.07146366	0.8025984	-0.025516883	0.38419268	1.3843889	-0.32172662	10.196809	0.005908125	0.34055528	1.2275946	-0.58445966	64000	1.8626451e-09	0.19096905	-0.010721045	-0.13791317	2.5245218	0.015187674	0.139875	13.0	7.92347264289856
8	0.09018518	0.6910585	0.00982083	0.41821927	1.3889275	-0.32709756	12.532895	-0.03409849	0.26607263	1.0218775	-0.90286726	72000	3.7252903e-09	0.19144017	-0.023794139	-0.14679381	2.5634546	0.013815414	0.1645	79.0	9.085878849029541
9	0.15025187	0.634282	0.1064992	0.5086745	1.4178007	-0.3488289	14.3125	0.113389894	0.26654097	1.0547131	-0.60668725	80000	2.2351742e-08	0.2112489	-0.021999218	-0.12215254	2.5286255	0.009247192	0.128125	79.0	10.235477924346924
10	0.24477181	0.5515815	0.24094442	0.62109137	1.4314393	-0.30368713	15.009766	0.09027543	0.21705756	0.8631129	-0.56068516	88000	1.1175871e-08	0.21999478	-0.025789052	-0.10591452	2.5127363	0.011639525	0.14037499	79.0	11.41084599494934
11	0.115859	0.752811	0.047801748	0.47861895	1.4384093	-0.35648268	11.366279	0.19525112	0.2673932	1.2213479	-0.4696281	96000	-3.7252903e-09	0.21630087	-0.027009698	-0.13278762	2.483249	0.0116679715	0.14987499	79.0	12.56718373298645
12	0.11205545	0.69386446	0.04905398	0.45511526	1.3991101	-0.3324385	12.873311	0.12795599	0.25777096	0.88255334	-0.65909904	104000	5.5879354e-09	0.16343154	-0.026311936	-0.087174594	2.4863448	0.012247261	0.148625	79.0	13.738915920257568
13	0.1253925	0.7279377	0.041214637	0.47248384	1.4186691	-0.28442523	11.868827	0.11181791	0.2274305	0.87864137	-0.64628744	112000	1.4901161e-08	0.161464	-0.029266408	-0.101096585	2.478222	0.013032489	0.17725	79.0	14.87824559211731
14	0.18529944	0.6700874	0.14464645	0.5791198	1.468201	-0.3081955	11.9811325	0.07411349	0.25544682	1.2200804	-0.61066747	120000	-7.450581e-09	0.21808484	-0.030650938	-0.13014205	2.443634	0.014541513	0.18062499	79.0	16.049295902252197
15	0.18081644	0.6184334	0.14254718	0.5776056	1.4955347	-0.2973249	13.005068	0.18249102	0.33080342	1.1809111	-0.51931566	128000	-1.3969839e-09	0.24578291	-0.028463682	-0.14044416	2.4181762	0.011845415	0.166375	79.0	17.28250288963318
16	0.2687516	0.50398993	0.28318682	0.6593422	1.4535073	-0.2854464	15.0337305	0.15044516	0.31940144	1.2029845	-0.58774996	136000	1.0244548e-08	0.23060757	-0.021622287	-0.12074088	2.4239264	0.01507332	0.140875	38.0	18.258567094802856
17	0.30663332	0.58247244	0.3234978	0.673505	1.443316	-0.2806262	12.934564	0.26596764	0.3095131	1.063565	-0.6214272	144000	1.8626451e-09	0.20542766	-0.027895235	-0.10638514	2.4138622	0.011711856	0.15762499	79.0	19.567665100097656
18	0.3117482	0.47657716	0.34660107	0.6841923	1.4625715	-0.3411144	15.0703125	0.3743407	0.36126372	1.4148371	-0.7771448	152000	8.381903e-09	0.2644528	-0.03300774	-0.1707268	2.4117537	0.014259467	0.18062499	79.0	20.745837926864624
19	0.24940857	0.6347697	0.24374576	0.65119976	1.4478333	-0.30772236	12.317307	0.31599268	0.3295042	1.1152184	-0.35702583	160000	7.450581e-09	0.23475364	-0.030857716	-0.123432636	2.3917594	0.01500651	0.177	64.0	21.883582592010498
20	0.38498315	0.5086955	0.4281959	0.7154622	1.4906723	-0.30279368	13.84058	0.2697821	0.33301157	1.2658389	-0.75846267	168000	1.4901161e-08	0.252002	-0.02127939	-0.15933205	2.362752	0.015098423	0.1665	21.0	22.819026708602905
21	0.45919353	0.4183985	0.54530936	0.74192953	1.4639624	-0.3691501	14.970472	0.47565353	0.33547226	1.2662141	-0.32229567	176000	-7.450581e-09	0.22679147	-0.027333084	-0.12768537	2.344767	0.015088765	0.17250001	64.0	23.99558663368225
22	0.49584728	0.39796013	0.5792366	0.7578331	1.4843845	-0.32869223	14.276316	0.5648422	0.32971555	1.5459181	-0.24680789	184000	5.5879354e-09	0.2814279	-0.031209808	-0.18148074	2.3179078	0.014493326	0.206	79.0	25.136990785598755
23	0.3659683	0.5022543	0.41171956	0.7320145	1.4627212	-0.32835817	13.713768	0.49958307	0.3362893	1.3940337	-0.37126076	192000	9.313226e-09	0.23676744	-0.031054951	-0.13887092	2.3138652	0.012724311	0.171	79.0	26.308214902877808
24	0.46042955	0.45231336	0.5318968	0.7545451	1.4878361	-0.45612037	14.233577	0.48657057	0.35509855	1.3230772	-0.39792097	200000	0.0	0.23508346	-0.035156094	-0.1456866	2.314314	0.014387667	0.19825	79.0	27.43369197845459
25	0.49326712	0.4317227	0.6006189	0.7662406	1.4842272	-0.33189395	13.681655	0.5231179	0.3152028	1.294004	-0.5526475	208000	-1.8626451e-09	0.16810088	-0.027168917	-0.09705745	2.2685373	0.015007243	0.182875	36.0	28.456716537475586
26	0.5285003	0.42785007	0.6491698	0.7686841	1.495529	-0.2807059	13.563829	0.6421699	0.35539818	1.4145472	-0.51674974	216000	-1.1175871e-08	0.17395169	-0.035399344	-0.10403848	2.2100525	0.01300164	0.198	79.0	29.581146240234375
27	0.4762529	0.46017873	0.5691383	0.7846013	1.4882311	-0.34627247	12.869127	0.6124879	0.34237444	1.4828895	-0.6737954	224000	1.8626451e-09	0.22742438	-0.034472123	-0.13752359	2.2318192	0.013776044	0.205875	79.0	30.771726369857788
28	0.5546627	0.3607391	0.713664	0.76294744	1.5128467	-0.38300082	14.696154	0.55746025	0.37023187	1.3817514	-0.6060087	232000	1.8626451e-09	0.2642834	-0.03121534	-0.17909566	2.1973395	0.015073843	0.185	66.0	31.86319136619568
29	0.43106693	0.47367015	0.459696	0.74691296	1.4848179	-0.3437269	12.958904	0.49127325	0.34580994	1.5166008	-0.6524513	240000	2.6077032e-08	0.2160481	-0.03635185	-0.11324534	2.2104027	0.012286488	0.213625	79.0	33.04850482940674
30	0.4163586	0.4943609	0.49309394	0.76297396	1.5124708	-0.33337945	13.026667	0.48463005	0.3405245	1.2675663	-0.41194636	248000	0.0	0.23968183	-0.03310056	-0.13293676	2.172997	0.015081794	0.181	68.0	34.16665172576904
31	0.40649098	0.5061805	0.47659627	0.7524988	1.5087533	-0.31785783	12.866776	0.42300072	0.34492582	1.3307806	-0.494749	256000	0.0	0.19473952	-0.03432568	-0.09668983	2.1858923	0.015045458	0.18362501	63.0	35.284242153167725
32	0.5130031	0.44089082	0.6291753	0.77495116	1.5167917	-0.32696143	13.181507	0.468615	0.35691822	1.487882	-0.723909	264000	-5.5879354e-09	0.25991115	-0.036075335	-0.17136948	2.1362977	0.015012369	0.214125	69.0	36.390254974365234
